 autoOut                                                               
 SPECIES       Hf       S    Cp 300     400     500     600     800     1000     1500     DATE        ELEMENTS
 ROOH_7    -107.28   192.58    92.37  117.34  139.07  156.65  182.96  202.37     .00   5/21/16 THERM   C  15 H  32 O   2     0 G16
 ROO_7      -74.11   192.10    91.20  115.56  136.79  153.91  179.71  198.69     .00   5/21/16 THERM   C  15 H  31 O   2     0 G15
 ROOH_8    -111.31   189.31    93.06  118.09  139.71  157.14  183.10  202.19     .00   5/21/16 THERM   C  15 H  32 O   2     0 G16
 ROO_8      -78.14   188.84    91.89  116.31  137.43  154.40  179.85  198.51     .00   5/21/16 THERM   C  15 H  31 O   2     0 G15
 ROOH_9    -111.31   189.31    93.06  118.09  139.71  157.14  183.10  202.19     .00   5/21/16 THERM   C  15 H  32 O   2     0 G16
 ROO_9      -78.14   188.84    91.89  116.31  137.43  154.40  179.85  198.51     .00   5/21/16 THERM   C  15 H  31 O   2     0 G15
 ROOH_10   -111.31   189.31    93.06  118.09  139.71  157.14  183.10  202.19     .00   5/21/16 THERM   C  15 H  32 O   2     0 G16
 ROO_10     -78.14   188.84    91.89  116.31  137.43  154.40  179.85  198.51     .00   5/21/16 THERM   C  15 H  31 O   2     0 G15
 ROOH_11   -113.73   189.40    93.47  117.94  139.25  156.63  183.22  202.82     .00   5/21/16 THERM   C  15 H  32 O   2     0 G16
 ROO_11     -80.56   188.93    92.30  116.16  136.97  153.89  179.97  199.14     .00   5/21/16 THERM   C  15 H  31 O   2     0 G15
 ROOH_12   -107.28   192.58    92.37  117.34  139.07  156.65  182.96  202.37     .00   5/21/16 THERM   C  15 H  32 O   2     0 G16
 ROO_12     -74.11   192.10    91.20  115.56  136.79  153.91  179.71  198.69     .00   5/21/16 THERM   C  15 H  31 O   2     0 G15
 ROOH_13   -111.31   189.31    93.06  118.09  139.71  157.14  183.10  202.19     .00   5/21/16 THERM   C  15 H  32 O   2     0 G16
 ROO_13     -78.14   188.84    91.89  116.31  137.43  154.40  179.85  198.51     .00   5/21/16 THERM   C  15 H  31 O   2     0 G15
 ROOH_14   -107.28   192.58    92.37  117.34  139.07  156.65  182.96  202.37     .00   5/21/16 THERM   C  15 H  32 O   2     0 G16
 ROO_14     -74.11   192.10    91.20  115.56  136.79  153.91  179.71  198.69     .00   5/21/16 THERM   C  15 H  31 O   2     0 G15
